Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C25, C26, C3, C35, C36, C37, C38, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C54, C6, C7, C8, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,38,0.1uF,
"C23, C24, C39, C4, C40, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,6,20pF,
"C27, C28, C29, C30, C31, C32, C33, C34",C_Disc_D3.0mm_W1.6mm_P2.50mm,8,1uF,
"C52, C53",CP_Radial_D10.0mm_P2.50mm,2,2.2uF,
"F1, F2",Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,2,Fuse,
J1,Molex_Mini-Fit_Jr_5566-20A_2x10_P4.20mm_Vertical,1,ATX-20,
"J10, J8, J9",PinSocket_2x31_P2.54mm_Vertical,3,Bus_ISA_8bit,
J2,PinHeader_2x05_P2.54mm_Vertical,1,F_PANEL,
J3,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DE-9SA-J4-2R,
J4,minidin_6_ps2_pcb_mount,1,Mini-DIN-6 KBD,
J5,minidin_6_ps2_pcb_mount,1,Mini-DIN-6 Mouse,
J6,RJ45_Amphenol_RJMG1BD3B8K1ANR,1,RJ45_Amphenol_RJMG1BD3B8K1ANR,
J7,IDC-Header_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
Q1,TO-92_Inline,1,2N7000,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R22, R25, R26, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,20,10k,
"R18, R19, R20, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,"4,7k",
"R23, R24, R27",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,"3,3R",
SW1,SW_DIP_SPSTx08_Piano_10.8x21.88mm_W7.62mm_P2.54mm,1,SW_DIP_x08,
U1,DIP-40_W15.24mm_Socket,1,Intel_8088,
"U10, U15",DIP-32_W15.24mm_Socket,2,AS6C4008-55PCN,
U11,DIP-20_W7.62mm_Socket,1,74HCT373,
U12,DIP-40_W15.24mm_Socket,1,8255A,
"U13, U7",DIP794W45P254L1969H508Q16,2,SN74HCT138N,
"U14, U29, U30",SN74HCT245N,3,SN74HCT245N,
U16,DIP-28_W15.24mm_Socket,1,28C256,
U17,CD74HCT14E,1,CD74HCT14E,
U18,N14,1,CD74HCT10E,
U19,DIP-40_W15.24mm_Socket,1,TL16C550BN,
U2,DIP-40_W15.24mm_Socket,1,8087,
U20,N14,1,CD74HCT30E,
"U21, U22",DIP-16_W7.62mm_Socket,2,MAX232,
U23,DIP-28_W15.24mm_Socket,1,8259A,
U24,DIP-24_W15.24mm_Socket,1,8254,
U25,DIP-40_W15.24mm_Socket,1,Intel 8242,
U26,PQFP-100_14x20mm_P0.65mm,1,Realtek RTL8019AS,
U27,DIP-8_W7.62mm_Socket,1,93LCxxC,
U28,DIP-20_W7.62mm_Socket,1,74HCT688 (CD74HCT688E),
U3,DIP-18_W7.62mm_Socket,1,8284,
U31,DIP794W45P254L2540H508Q20,1,SN74HCT573N,
U32,DIP794W45P254L1969H508Q14,1,SN74HCT32N,
U33,TO-220-3_Vertical,1,L7905,
U4,DIP254P762X508-14,1,CD74HCT74E,CD74HCT74E
"U5, U8",DIP794W45P254L1969H508Q14,2,SN74HCT08N,
U6,DIP-20_W7.62mm_Socket,1,8288,
U9,N14,1,CD74HCT21E,
Y1,Crystal_HC49-U_Vertical,1,14.31818 MHz,
Y2,Crystal_HC49-U_Vertical,1,1.8432MHZ,
Y3,Crystal_HC49-U_Vertical,1,12MHz,
