Designator,Mid X,Mid Y,Rotation,Layer
C1,421.39,-257.79,0.0,top
C10,437.3975,-239.79,0.0,top
C11,272.41,-324.81,180.0,top
C12,237.26,-287.32,180.0,top
C13,320.01,-231.23,90.0,top
C14,363.72,-193.89,0.0,top
C15,226.76,-237.465,90.0,top
C16,356.06,-249.63,180.0,top
C17,211.32,-287.66,180.0,top
C18,269.32,-286.47,180.0,top
C19,252.47,-310.17,180.0,top
C2,388.19,-257.61,0.0,top
C20,182.77,-286.82,180.0,top
C21,325.48,-164.73,180.0,top
C22,297.77,-136.92,0.0,top
C23,299.82,-204.4,0.0,top
C24,299.82,-209.31,0.0,top
C25,390.11,-140.88,0.0,top
C26,395.91,-135.97,180.0,top
C27,394.47,-117.93,0.0,top
C28,388.29,-123.13,0.0,top
C29,397.81,-153.67,180.0,top
C3,410.9,-242.58,180.0,top
C30,391.02,-159.02,180.0,top
C31,394.59,-121.89,270.0,top
C32,383.21,-123.15,0.0,top
C33,391.37,-154.94,90.0,top
C34,401.5,-154.93,90.0,top
C35,185.38,-256.525,270.0,top
C36,260.31,-241.49,180.0,top
C37,435.03,-146.42,180.0,top
C38,438.94,-183.42,90.0,top
C39,415.22,-144.97,270.0,top
C4,400.99,-238.56,90.0,top
C40,415.23,-161.6,90.0,top
C41,411.12,-125.06,90.0,top
C42,431.81,-125.88,90.0,top
C43,344.375,-130.705,0.0,top
C44,322.29,-122.24,270.0,top
C45,361.02,-121.28,270.0,top
C46,358.66,-121.27,270.0,top
C47,280.34,-113.53,180.0,top
C48,292.32,-188.38,270.0,top
C49,236.06,-188.18,0.0,top
C5,400.93,-231.18,90.0,top
C50,253.61,-187.58,0.0,top
C51,236.95,-202.3,270.0,top
C52,234.23,-115.25,0.0,top
C53,234.31,-126.57,0.0,top
C54,234.25,-135.77,180.0,top
C6,354.71,-312.08,270.0,top
C7,408.62,-211.3725,90.0,top
C8,377.51,-251.48,90.0,top
C9,252.48,-312.31,180.0,top
F1,418.01,-125.77,90.0,top
F2,438.21,-126.32,90.0,top
H1,163.51,-109.65,0.0,top
H2,287.96,-109.69,0.0,top
H3,445.47,-132.51,0.0,top
H4,163.51,-264.59,0.0,top
H5,287.96,-264.63,0.0,top
H6,445.45,-264.59,0.0,top
H7,163.51,-336.98,0.0,top
H8,287.96,-336.98,0.0,top
H9,445.45,-336.98,0.0,top
J1,363.46,-329.71,180.0,top
J10,212.99,-162.95,0.0,top
J2,154.52,-292.23,0.0,top
J3,388.515,-109.57,180.0,top
J4,434.76,-106.91,0.0,top
J5,414.88,-106.94,0.0,top
J6,359.565,-108.4025,180.0,top
J7,275.23,-185.58,0.0,top
J8,172.41,-163.01,0.0,top
J9,192.72,-162.98,0.0,top
Q1,367.5,-315.24,0.0,top
R1,428.38,-262.48,180.0,top
R10,328.85,-167.5,270.0,top
R11,308.03,-216.22,270.0,top
R12,218.54,-250.685,270.0,top
R13,241.2,-269.62,0.0,top
R14,266.59,-269.62,180.0,top
R15,438.96,-166.88,90.0,top
R16,438.9,-149.11,270.0,top
R17,423.2,-146.41,180.0,top
R18,427.33,-115.38,0.0,top
R19,429.29,-118.44,0.0,top
R2,402.42,-199.4025,270.0,top
R20,408.74,-115.1,0.0,top
R21,410.5,-118.3,0.0,top
R22,323.245,-147.455,90.0,top
R23,347.88,-118.73,90.0,top
R24,370.46,-118.84,90.0,top
R25,286.25,-136.51,180.0,top
R26,281.87,-209.73,90.0,top
R27,153.18,-281.54,270.0,top
R3,347.17,-302.83,180.0,top
R4,388.5,-235.64,90.0,top
R5,351.13,-246.31,90.0,top
R6,362.25,-252.2,90.0,top
R7,186.16,-289.5,270.0,top
R8,209.24,-228.285,0.0,top
R9,305.98,-195.37,0.0,top
SW1,364.06,-203.535,270.0,top
U1,381.33,-284.38,0.0,top
U10,230.41,-309.06,0.0,top
U11,334.12,-234.26,90.0,top
U12,370.56,-167.11,180.0,top
U13,215.6,-234.945,270.0,top
U14,358.49,-234.84,180.0,top
U15,204.47,-309.39,0.0,top
U16,175.91,-306.01,0.0,top
U17,275.71,-292.36,90.0,top
U18,254.97,-323.54,0.0,top
U19,318.63,-191.54,0.0,top
U2,414.54,-284.61,0.0,top
U20,300.18,-125.52,180.0,top
U21,397.71,-147.28,90.0,top
U22,388.26,-129.59,270.0,top
U23,204.57,-263.375,90.0,top
U24,253.94,-258.15,0.0,top
U25,428.65,-173.24,0.0,top
U26,336.755,-141.355,90.0,top
U27,328.82,-125.26,90.0,top
U28,277.36,-127.67,0.0,top
U29,296.13,-172.28,180.0,top
U3,413.94,-229.77,180.0,top
U30,238.52,-173.32,180.0,top
U31,256.17,-173.53,180.0,top
U32,248.14,-204.83,90.0,top
U33,246.32,-122.66,270.0,top
U4,342.33,-310.02,270.0,top
U5,397.42,-208.8625,270.0,top
U6,381.36,-236.13,180.0,top
U7,254.95,-299.03,180.0,top
U8,439.9175,-228.58,180.0,top
U9,274.86,-313.61,180.0,top
Y1,404.97,-234.87,270.0,top
Y2,305.01,-206.85,270.0,top
Y3,415.21,-153.23,90.0,top
